"filename", "language", "PHP", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\eladeb\userterapeuta\cenarioCadastrar.php", "PHP", 80, 0, 3, 10, 93
"c:\xampp\htdocs\eladeb\userterapeuta\cenarioCadastrarBack.php", "PHP", 40, 0, 4, 10, 54
"c:\xampp\htdocs\eladeb\userterapeuta\cenarioDetalhes.php", "PHP", 68, 0, 5, 9, 82
"c:\xampp\htdocs\eladeb\userterapeuta\cenarioExibir.php", "PHP", 77, 0, 5, 9, 91
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\cadCenario.php", "PHP", 12, 0, 1, 7, 20
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\cadConsulta.php", "PHP", 41, 0, 0, 5, 46
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\cadPaciente.php", "PHP", 20, 0, 0, 7, 27
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\cadastrarCenario.php", "PHP", 69, 0, 8, 16, 93
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\cadastrarPaciente.html", "HTML", 0, 35, 0, 4, 39
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\cadastrarPerguntas.html", "HTML", 0, 27, 0, 3, 30
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\excluirPerguntas.php", "PHP", 9, 0, 1, 3, 13
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\exibirCenarioMid.php", "PHP", 33, 0, 3, 7, 43
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\exibirPaciente.php", "PHP", 39, 0, 0, 7, 46
"c:\xampp\htdocs\eladeb\userterapeuta\deployment\exibirPerguntas.php", "PHP", 34, 0, 1, 6, 41
"c:\xampp\htdocs\eladeb\userterapeuta\include\navbarTerapeuta.html", "HTML", 0, 30, 8, 3, 41
"c:\xampp\htdocs\eladeb\userterapeuta\pacienteAssociar.php", "PHP", 63, 0, 5, 9, 77
"c:\xampp\htdocs\eladeb\userterapeuta\pacienteAssociarBack.php", "PHP", 37, 0, 6, 11, 54
"c:\xampp\htdocs\eladeb\userterapeuta\perguntaCadastrar.php", "PHP", 72, 0, 4, 10, 86
"c:\xampp\htdocs\eladeb\userterapeuta\perguntaCadastrarBack.php", "PHP", 33, 0, 2, 9, 44
"c:\xampp\htdocs\eladeb\userterapeuta\perguntaExibir.php", "PHP", 65, 0, 4, 8, 77
"c:\xampp\htdocs\eladeb\userterapeuta\principalterapeuta.php", "PHP", 81, 0, 6, 11, 98
"c:\xampp\htdocs\eladeb\userterapeuta\resultadoExibir.php", "PHP", 88, 0, 3, 15, 106
"c:\xampp\htdocs\eladeb\userterapeuta\resultadoTabelaPontos.php", "PHP", 809, 0, 27, 50, 886
"Total", "-", 1770, 92, 96, 229, 2187